INFO 2024-12-20 00:40:05,921 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-20 00:40:05,921 autoreload Waiting for apps ready_event.
DEBUG 2024-12-20 00:40:06,238 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-12-20 00:40:06,379 autoreload Watching dir C:\Users\aqiba\Desktop\test3-main\test3-main\backend\templates with glob **/*.
DEBUG 2024-12-20 00:40:06,379 autoreload Watching dir C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-12-20 00:40:06,379 autoreload Watching dir C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\templates with glob **/*.
DEBUG 2024-12-20 00:40:06,379 autoreload Watching dir C:\Users\aqiba\Desktop\test3-main\test3-main\backend\locale with glob **/*.mo.
DEBUG 2024-12-20 00:40:06,379 autoreload Watching dir C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-12-20 00:40:06,379 autoreload Watching dir C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-12-20 00:40:06,379 autoreload Watching dir C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\locale with glob **/*.mo.
DEBUG 2024-12-20 00:40:06,379 autoreload Watching dir C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\account\locale with glob **/*.mo.
DEBUG 2024-12-20 00:40:06,379 autoreload Watching dir C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\socialaccount\locale with glob **/*.mo.
DEBUG 2024-12-20 00:40:06,379 autoreload Watching dir C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\socialaccount\providers\google\locale with glob **/*.mo.
DEBUG 2024-12-20 00:40:06,379 autoreload Watching dir C:\Users\aqiba\Desktop\test3-main\test3-main\backend\app\locale with glob **/*.mo.
DEBUG 2024-12-20 00:40:06,443 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-12-20 00:40:06,448 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-12-20 00:40:06,949 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\checks\security\base.py first seen with mtime 1734549244.0174842
DEBUG 2024-12-20 00:40:06,949 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\asyncio\queues.py first seen with mtime 1686099618.0
DEBUG 2024-12-20 00:40:06,949 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\statistics.py first seen with mtime 1686099618.0
DEBUG 2024-12-20 00:40:06,949 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\allauth\socialaccount\internal\flows\__init__.py first seen with mtime 1734549268.6680396
DEBUG 2024-12-20 00:40:06,949 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1734549241.3208127
DEBUG 2024-12-20 00:40:06,949 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\wsgi.py first seen with mtime 1734549244.001855
DEBUG 2024-12-20 00:40:06,949 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\pyparsing\helpers.py first seen with mtime 1716632118.4574585
DEBUG 2024-12-20 00:40:06,949 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\shlex.py first seen with mtime 1686099618.0
DEBUG 2024-12-20 00:40:06,949 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\dateutil\relativedelta.py first seen with mtime 1716631344.8793378
DEBUG 2024-12-20 00:40:06,958 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1734549244.6368766
DEBUG 2024-12-20 00:40:06,958 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\importlib\metadata\_adapters.py first seen with mtime 1686099618.0
DEBUG 2024-12-20 00:40:06,958 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1734549244.6837552
DEBUG 2024-12-20 00:40:06,958 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\json\__init__.py first seen with mtime 1686099618.0
DEBUG 2024-12-20 00:40:06,958 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1734549244.1464448
DEBUG 2024-12-20 00:40:06,958 autoreload File C:\Users\aqiba\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygments\filter.py first seen with mtime 1716631320.9347117
